left_id,left_title,right_id,right_title,pair_id,label
98459247-5,Brooks Revel 4,3254468229-1, Brooks Revel 4,98459247-5#3254468229-1,1
98459247-5,Brooks Revel 4,2189674532-2,Brooks Revel 4 Running Shoes,98459247-5#2189674532-2,1
98459247-5,Brooks Revel 4,63280045-0, Brooks Revel 4 Womens Road Running Shoes,98459247-5#63280045-0,1
9393095-0,Brooks Cascadia 15,1699072982-0,Brooks Cascadia 15 Trail Running Shoes,9393095-0#1699072982-0,1
9393095-0,Brooks Cascadia 15,8330392-1,Brooks Cascadia 15 Womens ,9393095-0#8330392-1,1
9393095-2,Brooks Cascadia 15,8330392-0,Brooks Cascadia 15 Womens ,9393095-2#8330392-0,1
8963588-1,Brooks Catamount,97841428-0, Brooks Catamount Womens Trail Running Shoes,8963588-1#97841428-0,1
90298699-0,Brooks Cascadia 15,57779013-1, Brooks Cascadia 15 Mens Trail Running Shoes,90298699-0#57779013-1,1
90298699-0,Brooks Cascadia 15,11635808-1,Brooks Cascadia 15 Mens ,90298699-0#11635808-1,1
83857277-0,Brooks Glycerin 19,6578106220-0,Brooks Glycerin 19 Running Shoes,83857277-0#6578106220-0,1
83857277-0,Brooks Glycerin 19,17240893-0,Brooks Glycerin 19 Mens,83857277-0#17240893-0,1
83857277-0,Brooks Glycerin 19,4578990633-0, Brooks Glycerin 19,83857277-0#4578990633-0,1
75727983-2,Brooks Adrenaline GTS 21,45210045-1,Brooks Adrenaline GTS 21 Womens ,75727983-2#45210045-1,1
75351102-9,Brooks Ghost 13,8074603326-1,Brooks Ghost 13 Running Shoes,75351102-9#8074603326-1,1
75351102-9,Brooks Ghost 13,40520750-0,Brooks Ghost 13 Womens ,75351102-9#40520750-0,1
75351102-9,Brooks Ghost 13,586983957-2, Brooks Ghost 13,75351102-9#586983957-2,1
67482776-0,Brooks Hyperion Tempo,6927788-0, Brooks Hyperion Tempo Womens Road Running Shoes,67482776-0#6927788-0,1
64813914-0,Brooks Catamount,59326104-0, Brooks Catamount Mens Trail Running Shoes,64813914-0#59326104-0,1
61182441-0,Brooks Trace,2553348554-0, Brooks Trace,61182441-0#2553348554-0,1
61182441-0,Brooks Trace,3958485215-0,Brooks Trace Running Shoes,61182441-0#3958485215-0,1
61182441-0,Brooks Trace,53700472-0, Brooks Trace Mens Road Running Shoes,61182441-0#53700472-0,1
98459247-3,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-3#2189674532-1,1
98459247-3,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-3#3254468229-0,1
31728985-0,Brooks Hyperion Tempo Womens,6927788-0, Brooks Hyperion Tempo Womens Road Running Shoes,31728985-0#6927788-0,1
31728985-0,Brooks Hyperion Tempo Womens,67482776-0,Brooks Hyperion Tempo,31728985-0#67482776-0,1
93441525-2,Brooks Launch GTS 8,5839264583-0,Brooks Launch GTS 8 Running Shoes,93441525-2#5839264583-0,1
93441525-2,Brooks Launch GTS 8,68962755-0,Brooks Launch GTS 8 Womens,93441525-2#68962755-0,1
93441525-2,Brooks Launch GTS 8,8682667884-1,Brooks Launch GTS 8,93441525-2#8682667884-1,1
93441525-3,Brooks Launch GTS 8,68962755-1,Brooks Launch GTS 8 Womens,93441525-3#68962755-1,1
93441525-3,Brooks Launch GTS 8,8682667884-0, Brooks Launch GTS 8,93441525-3#8682667884-0,1
98459247-1,Brooks Revel 4,2189674532-0,Brooks Revel 4 Running Shoes,98459247-1#2189674532-0,1
98459247-1,Brooks Revel 4,46306238-0,Brooks Revel 4 Womens ,98459247-1#46306238-0,1
98459247-1,Brooks Revel 4,3254468229-2,Brooks Revel 4,98459247-1#3254468229-2,1
92732409-0,Brooks Glycerin GTS 19,5431691443-1,Brooks Glycerin GTS 19 Running Shoes,92732409-0#5431691443-1,1
92732409-0,Brooks Glycerin GTS 19,6249767945-1, Brooks Glycerin GTS 19,92732409-0#6249767945-1,1
92732409-1,Brooks Glycerin GTS 19,5431691443-0,Brooks Glycerin GTS 19 Running Shoes,92732409-1#5431691443-0,1
92732409-1,Brooks Glycerin GTS 19,88073041-0,Brooks Glycerin GTS 19 Mens,92732409-1#88073041-0,1
92732409-1,Brooks Glycerin GTS 19,6249767945-0, Brooks Glycerin GTS 19,92732409-1#6249767945-0,1
81152394-0,Brooks Launch GTS 8,4114829188-1,Brooks Launch GTS 8 Running Shoes,81152394-0#4114829188-1,1
81152394-0,Brooks Launch GTS 8,5602633108-0, Brooks Launch GTS 8,81152394-0#5602633108-0,1
75727983-1,Brooks Adrenaline GTS 21,7959363920-2,Brooks Adrenaline GTS 21 Running Shoes,75727983-1#7959363920-2,1
75727983-1,Brooks Adrenaline GTS 21,7959363920-1,Brooks Adrenaline GTS 21 Running Shoes,75727983-1#7959363920-1,1
75727983-1,Brooks Adrenaline GTS 21,7959363920-0,Brooks Adrenaline GTS 21 Running Shoes,75727983-1#7959363920-0,1
75727983-1,Brooks Adrenaline GTS 21,45210045-3,Brooks Adrenaline GTS 21 Womens ,75727983-1#45210045-3,1
75727983-1,Brooks Adrenaline GTS 21,4501512944-2, Brooks Adrenaline GTS 21,75727983-1#4501512944-2,1
75727983-1,Brooks Adrenaline GTS 21,4501512944-0, Brooks Adrenaline GTS 21,75727983-1#4501512944-0,1
75727983-1,Brooks Adrenaline GTS 21,4501512944-1, Brooks Adrenaline GTS 21,75727983-1#4501512944-1,1
83857277-3,Brooks Glycerin 19,6578106220-1,Brooks Glycerin 19 Running Shoes,83857277-3#6578106220-1,1
83857277-3,Brooks Glycerin 19,17240893-1,Brooks Glycerin 19 Mens,83857277-3#17240893-1,1
83857277-3,Brooks Glycerin 19,4578990633-1, Brooks Glycerin 19,83857277-3#4578990633-1,1
76102943-1,Brooks Launch 8,4056076952-0, Brooks Launch 8,76102943-1#4056076952-0,1
76102943-1,Brooks Launch 8,36030510-0,Brooks Launch 8 Running Shoes,76102943-1#36030510-0,1
78285785-0,Brooks Wire v6,39203601-0, Brooks Wire v6 Mens Racing Spikes,78285785-0#39203601-0,1
65751435-1,Brooks Addiction Walker 2,53641684-0,Brooks Addiction Walker 2 Womens ,65751435-1#53641684-0,1
65751435-1,Brooks Addiction Walker 2,1675100344-1, Brooks Addiction Walker 2,65751435-1#1675100344-1,1
72505425-0,Brooks Dyad 11,9871064287-0,Brooks Dyad 11 Running Shoes,72505425-0#9871064287-0,1
72505425-0,Brooks Dyad 11,2709771478-2,Brooks Dyad 11,72505425-0#2709771478-2,1
54727815-0,Brooks Caldera 5,82753935-0, Brooks Caldera 5 Womens Trail Running Shoes,54727815-0#82753935-0,1
54727815-0,Brooks Caldera 5,6037297205-0,Brooks Caldera 5 Trail Running Shoes,54727815-0#6037297205-0,1
54727815-0,Brooks Caldera 5,9765894792-0, Brooks Caldera 5,54727815-0#9765894792-0,1
1016458896-0,Nike Court Vision Low,44550326-2,Nike Vision Low Men's Shoe,1016458896-0#44550326-2,1
40520750-2,Brooks Ghost 13 Womens ,2995960201-0,Brooks Ghost 13 Estrecho Trail Running Shoes,40520750-2#2995960201-0,1
40520750-2,Brooks Ghost 13 Womens ,77537281-1, Brooks Ghost 13 Womens Road Running Shoes,40520750-2#77537281-1,1
40520750-2,Brooks Ghost 13 Womens ,75351102-0,Brooks Ghost 13,40520750-2#75351102-0,1
93004438-1,Brooks Beast 20 Mens ,681018076-1,Brooks Beast 20 Running Shoes,93004438-1#681018076-1,1
93004438-1,Brooks Beast 20 Mens ,80748833-1, Brooks Beast 20 Mens Road Running Shoes,93004438-1#80748833-1,1
93004438-1,Brooks Beast 20 Mens ,22303331-0,Brooks Beast '20,93004438-1#22303331-0,1
93004438-1,Brooks Beast 20 Mens ,6644935798-0, Brooks Beast 20,93004438-1#6644935798-0,1
75351102-3,Brooks Ghost 13,586983957-0, Brooks Ghost 13,75351102-3#586983957-0,1
75351102-8,Brooks Ghost 13,40520750-3,Brooks Ghost 13 Womens,75351102-8#40520750-3,1
49336345-8,Brooks Ghost 13,6207752-1,Brooks Ghost 13 Mens ,49336345-8#6207752-1,1
50269470-0,Brooks Ricochet 3,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,50269470-0#13432720-0,1
50269470-0,Brooks Ricochet 3,6302253593-0, Brooks Ricochet 3,50269470-0#6302253593-0,1
50269470-0,Brooks Ricochet 3,736652578-1,Brooks Ricochet 3 Running Shoes,50269470-0#736652578-1,1
50515247-0,Brooks Ricochet 3,48421012-1, Brooks Ricochet 3 Mens Road Running Shoes,50515247-0#48421012-1,1
50515247-0,Brooks Ricochet 3,88905154-0, Brooks Ricochet 3 Running Shoes,50515247-0#88905154-0,1
50515247-0,Brooks Ricochet 3,6716274024-0,Brooks Ricochet 3 Running Shoes,50515247-0#6716274024-0,1
50515247-0,Brooks Ricochet 3,8048422524-0, Brooks Ricochet 3,50515247-0#8048422524-0,1
50269470-2,Brooks Ricochet 3,18393194-0, Brooks Ricochet 3 Womens Running Shoes,50269470-2#18393194-0,1
50269470-2,Brooks Ricochet 3,13432720-1, Brooks Ricochet 3 Womens Road Running Shoes,50269470-2#13432720-1,1
50269470-2,Brooks Ricochet 3,736652578-0,Brooks Ricochet 3 Running Shoes,50269470-2#736652578-0,1
50269470-2,Brooks Ricochet 3,6302253593-1, Brooks Ricochet 3,50269470-2#6302253593-1,1
1242945-0,Brooks Divide 2,7567761507-0, Brooks Divide 2,1242945-0#7567761507-0,1
12760256-2,Brooks Levitate 4,2746693578-2,Brooks Levitate 4,12760256-2#2746693578-2,1
12760256-2,Brooks Levitate 4,2292350663-0,Brooks Levitate 4 Running Shoes,12760256-2#2292350663-0,1
12967723-0,Brooks Addiction 14,20047004-0,Brooks Addiction 14 Womens ,12967723-0#20047004-0,1
1626059-0,Brooks ELMN8 v5,87337356-0, Brooks ELMN8 v5 Mens Racing Spikes,1626059-0#87337356-0,1
30062239-0,Brooks Divide 2,3611700121-0, Brooks Divide 2,30062239-0#3611700121-0,1
30062239-0,Brooks Divide 2,2814137148-0,Brooks Divide 2 Trail Running Shoes,30062239-0#2814137148-0,1
32925679-1,Brooks Addiction 14,7632448392-0, Brooks Addiction 14,32925679-1#7632448392-0,1
32925679-1,Brooks Addiction 14,4875905093-0, Brooks Addiction 14 Extra Wide,32925679-1#4875905093-0,1
32925679-1,Brooks Addiction 14,4438593281-0,Brooks Addiction 14 Running Shoes,32925679-1#4438593281-0,1
330036-0,Brooks Adrenaline GTS 21,1988744982-1, Brooks Adrenaline GTS 21,330036-0#1988744982-1,1
330036-0,Brooks Adrenaline GTS 21,77796044-3,Brooks Adrenaline GTS 21 Mens,330036-0#77796044-3,1
3821328-1,Brooks Glycerin 19,2468158051-0, Brooks Glycerin 19,3821328-1#2468158051-0,1
3821328-1,Brooks Glycerin 19,2468158051-2,Brooks Glycerin 19,3821328-1#2468158051-2,1
3821328-1,Brooks Glycerin 19,5752285951-0,Brooks Glycerin 19 Running Shoes,3821328-1#5752285951-0,1
3821328-1,Brooks Glycerin 19,5752285951-2,Brooks Glycerin 19 Running Shoes,3821328-1#5752285951-2,1
3821328-2,Brooks Glycerin 19,2468158051-1, Brooks Glycerin 19,3821328-2#2468158051-1,1
3821328-2,Brooks Glycerin 19,32215863-0,Brooks Glycerin 19 Womens,3821328-2#32215863-0,1
3821328-2,Brooks Glycerin 19,5752285951-1,Brooks Glycerin 19 Running Shoes,3821328-2#5752285951-1,1
4104591-0,Brooks Launch 8,2520990689-1,Brooks Launch 8 Running Shoes,4104591-0#2520990689-1,1
4104591-0,Brooks Launch 8,6131794370-1, Brooks Launch 8,4104591-0#6131794370-1,1
4104591-0,Brooks Launch 8,5602633108-0, Brooks Launch GTS 8,4104591-0#5602633108-0,1
4104591-3,Brooks Launch 8,2520990689-0,Brooks Launch 8 Running Shoes,4104591-3#2520990689-0,1
4104591-3,Brooks Launch 8,6131794370-0, Brooks Launch 8,4104591-3#6131794370-0,1
47015602-0,Brooks Dyad 11,58321324-1, Brooks Dyad 11 Womens Road Running Shoes,47015602-0#58321324-1,1
47015602-0,Brooks Dyad 11,5559872746-0, Brooks Dyad 11,47015602-0#5559872746-0,1
47015602-1,Brooks Dyad 11,58321324-0, Brooks Dyad 11 Womens Road Running Shoes,47015602-1#58321324-0,1
49336345-10,Brooks Ghost 13,70245610-2, Brooks Ghost 13,49336345-10#70245610-2,1
49336345-10,Brooks Ghost 13,6207752-6,Brooks Ghost 13 Mens,49336345-10#6207752-6,1
49336345-10,Brooks Ghost 13,650780181-0, Brooks Ghost 13 Narrow,49336345-10#650780181-0,1
49336345-10,Brooks Ghost 13,3246205859-0, Brooks Ghost 13 Wide 2E,49336345-10#3246205859-0,1
49336345-10,Brooks Ghost 13,5180847860-0,Brooks Ghost 13 Narrow Running Shoes,49336345-10#5180847860-0,1
49336345-9,Brooks Ghost 13,6207752-2,Brooks Ghost 13 Mens ,49336345-9#6207752-2,1
49336345-9,Brooks Ghost 13,9565138259-0, Brooks Ghost 13 Wide,49336345-9#9565138259-0,1
49336345-9,Brooks Ghost 13,3451523672-0, Brooks Ghost 13 Narrow,49336345-9#3451523672-0,1
49336345-9,Brooks Ghost 13,7099271290-1, Brooks Ghost 13 Extra Wide,49336345-9#7099271290-1,1
49336345-9,Brooks Ghost 13,64606328-2, Brooks Ghost 13 Mens Road Running Shoes,49336345-9#64606328-2,1
176149208-2,Vans Sk8-Low,7622523778-1,Vans SK8-Low VN0A4UUK4W7,176149208-2#7622523778-1,1
1069509543-0,HUGO Atom Run Coated Sock Trainers,1204170957-0,HUGO ATOM RUNN KNSK,1069509543-0#1204170957-0,1
6816555929-0,Versace Jeans Couture Speed Trainers,48581650-1,Versace Jeans Couture - MINOTA,6816555929-0#48581650-1,1
6816555929-0,Versace Jeans Couture Speed Trainers,9060664058-0,Versace Jeans Couture MINOTA,6816555929-0#9060664058-0,1
12760256-1,Brooks Levitate 4,51257445-0, Brooks Levitate 4 Mens Road Running Shoes,12760256-1#51257445-0,1
12760256-1,Brooks Levitate 4,2292350663-1,Brooks Levitate 4 Running Shoes,12760256-1#2292350663-1,1
12760256-1,Brooks Levitate 4,2746693578-0, Brooks Levitate 4,12760256-1#2746693578-0,1
75727983-3,Brooks Adrenaline GTS 21,7959363920-4,Brooks Adrenaline GTS 21 Running Shoes,75727983-3#7959363920-4,1
75727983-3,Brooks Adrenaline GTS 21,7959363920-3,Brooks Adrenaline GTS 21 Running Shoes,75727983-3#7959363920-3,1
75727983-3,Brooks Adrenaline GTS 21,45210045-2,Brooks Adrenaline GTS 21 Womens ,75727983-3#45210045-2,1
75727983-3,Brooks Adrenaline GTS 21,4501512944-3, Brooks Adrenaline GTS 21,75727983-3#4501512944-3,1
75727983-3,Brooks Adrenaline GTS 21,4501512944-4, Brooks Adrenaline GTS 21,75727983-3#4501512944-4,1
65751435-0,Brooks Addiction Walker 2,5187304016-1, Brooks Addiction Walker 2,65751435-0#5187304016-1,1
65751435-0,Brooks Addiction Walker 2,39071607-1,Brooks Addiction Walker 2 Mens ,65751435-0#39071607-1,1
65751435-0,Brooks Addiction Walker 2,8525375408-1,Brooks Addiction Walker 2 Wide,65751435-0#8525375408-1,1
65751435-0,Brooks Addiction Walker 2,780433276-0, Brooks Addiction Walker 2 Extra Wide,65751435-0#780433276-0,1
65751435-0,Brooks Addiction Walker 2,43053901-0, Brooks Addiction Walker 2 Mens Road Running Shoes,65751435-0#43053901-0,1
3634858-1,Brooks Addiction Walker 2,5187304016-1, Brooks Addiction Walker 2,3634858-1#5187304016-1,1
3634858-1,Brooks Addiction Walker 2,39071607-1,Brooks Addiction Walker 2 Mens ,3634858-1#39071607-1,1
3634858-1,Brooks Addiction Walker 2,8525375408-1,Brooks Addiction Walker 2 Wide,3634858-1#8525375408-1,1
3634858-1,Brooks Addiction Walker 2,780433276-0, Brooks Addiction Walker 2 Extra Wide,3634858-1#780433276-0,1
3634858-1,Brooks Addiction Walker 2,43053901-0, Brooks Addiction Walker 2 Mens Road Running Shoes,3634858-1#43053901-0,1
1609795852-0,Vans Og Sk8-hi Lx Sneakers,26380991-2,Vans Sk8 Hi Trainers,1609795852-0#26380991-2,1
1240800108-1,Nike Venture Runner,99849408-0,Nike Venture Runner Women's Shoe,1240800108-1#99849408-0,1
9911074-0,Brooks Launch 7,4056076952-0, Brooks Launch 8,9911074-0#4056076952-0,0
9911074-0,Brooks Launch 7,4056076952-1, Brooks Launch 8,9911074-0#4056076952-1,0
9911074-0,Brooks Launch 7,6131794370-0, Brooks Launch 8,9911074-0#6131794370-0,0
9911074-0,Brooks Launch 7,6131794370-1, Brooks Launch 8,9911074-0#6131794370-1,0
9911074-0,Brooks Launch 7,5602633108-0, Brooks Launch GTS 8,9911074-0#5602633108-0,0
9911074-0,Brooks Launch 7,5602633108-1, Brooks Launch GTS 8,9911074-0#5602633108-1,0
9911074-0,Brooks Launch 7,8682667884-0, Brooks Launch GTS 8,9911074-0#8682667884-0,0
9911074-0,Brooks Launch 7,8682667884-1,Brooks Launch GTS 8,9911074-0#8682667884-1,0
9911074-0,Brooks Launch 7,13126526-0,Brooks Launch GTS 8 Mens,9911074-0#13126526-0,0
9911074-0,Brooks Launch 7,5480761149-0, Brooks Launch GTS 8 Wide,9911074-0#5480761149-0,0
9911074-0,Brooks Launch 7,68962755-0,Brooks Launch GTS 8 Womens,9911074-0#68962755-0,0
9911074-0,Brooks Launch 7,68962755-1,Brooks Launch GTS 8 Womens,9911074-0#68962755-1,0
9911074-0,Brooks Launch 7,2520990689-0,Brooks Launch 8 Running Shoes,9911074-0#2520990689-0,0
9911074-0,Brooks Launch 7,2520990689-1,Brooks Launch 8 Running Shoes,9911074-0#2520990689-1,0
9911074-0,Brooks Launch 7,36030510-0,Brooks Launch 8 Running Shoes,9911074-0#36030510-0,0
98459247-5,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-5#3254468229-0,0
98459247-5,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-5#2189674532-1,0
98459247-5,Brooks Revel 4,4767458-1, Brooks Revel 4 Mens Road Running Shoes,98459247-5#4767458-1,0
98459247-5,Brooks Revel 4,2292350663-3,Brooks Levitate 4 Running Shoes,98459247-5#2292350663-3,0
98459247-5,Brooks Revel 4,2424995179-1,Brooks Levitate 4 Running Shoes,98459247-5#2424995179-1,0
98459247-5,Brooks Revel 4,6302253593-0, Brooks Ricochet 3,98459247-5#6302253593-0,0
98459247-5,Brooks Revel 4,4056076952-1, Brooks Launch 8,98459247-5#4056076952-1,0
98459247-5,Brooks Revel 4,51824908-1,Brooks Ravenna 11 Mens ,98459247-5#51824908-1,0
98459247-5,Brooks Revel 4,51824908-2,Brooks Ravenna 11 Mens,98459247-5#51824908-2,0
98459247-5,Brooks Revel 4,73740473-0,Brooks Ravenna 11 Womens ,98459247-5#73740473-0,0
98459247-5,Brooks Revel 4,42493274-1, Brooks Levitate 4 Womens Road Running Shoes,98459247-5#42493274-1,0
