left_id,left_title,right_id,right_title,pair_id,label
98459247-5,Brooks Revel 4,45210045-0,Brooks Adrenaline GTS 21 Womens ,98459247-5#45210045-0,0
98459247-4,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-4#3254468229-0,0
98459247-4,Brooks Revel 4,3254468229-1, Brooks Revel 4,98459247-4#3254468229-1,0
98459247-4,Brooks Revel 4,58669627-0,Brooks Revel 4 Mens ,98459247-4#58669627-0,0
98459247-4,Brooks Revel 4,46306238-0,Brooks Revel 4 Womens ,98459247-4#46306238-0,0
98459247-4,Brooks Revel 4,2746693578-1,Brooks Levitate 4,98459247-4#2746693578-1,0
98459247-4,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-4#2189674532-1,0
98459247-4,Brooks Revel 4,2189674532-2,Brooks Revel 4 Running Shoes,98459247-4#2189674532-2,0
98459247-4,Brooks Revel 4,4767458-0, Brooks Revel 4 Mens Road Running Shoes,98459247-4#4767458-0,0
98459247-4,Brooks Revel 4,4767458-1, Brooks Revel 4 Mens Road Running Shoes,98459247-4#4767458-1,0
98459247-4,Brooks Revel 4,63280045-0, Brooks Revel 4 Womens Road Running Shoes,98459247-4#63280045-0,0
98459247-4,Brooks Revel 4,63280045-1, Brooks Revel 4 Womens Road Running Shoes,98459247-4#63280045-1,0
98459247-4,Brooks Revel 4,2292350663-2,Brooks Levitate 4 Running Shoes,98459247-4#2292350663-2,0
98459247-4,Brooks Revel 4,4056076952-1, Brooks Launch 8,98459247-4#4056076952-1,0
98459247-4,Brooks Revel 4,6131794370-0, Brooks Launch 8,98459247-4#6131794370-0,0
98459247-4,Brooks Revel 4,51824908-2,Brooks Ravenna 11 Mens,98459247-4#51824908-2,0
98459247-2,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-2#3254468229-0,0
98459247-2,Brooks Revel 4,3254468229-1, Brooks Revel 4,98459247-2#3254468229-1,0
98459247-2,Brooks Revel 4,3254468229-2,Brooks Revel 4,98459247-2#3254468229-2,0
98459247-2,Brooks Revel 4,7631563821-0, Brooks Revel 4,98459247-2#7631563821-0,0
98459247-2,Brooks Revel 4,7631563821-1, Brooks Revel 4,98459247-2#7631563821-1,0
98459247-2,Brooks Revel 4,58669627-0,Brooks Revel 4 Mens ,98459247-2#58669627-0,0
98459247-2,Brooks Revel 4,46306238-0,Brooks Revel 4 Womens ,98459247-2#46306238-0,0
98459247-2,Brooks Revel 4,2746693578-0, Brooks Levitate 4,98459247-2#2746693578-0,0
98459247-2,Brooks Revel 4,2746693578-1,Brooks Levitate 4,98459247-2#2746693578-1,0
98459247-2,Brooks Revel 4,9847167145-1, Brooks Levitate 4,98459247-2#9847167145-1,0
98459247-2,Brooks Revel 4,2189674532-0,Brooks Revel 4 Running Shoes,98459247-2#2189674532-0,0
98459247-2,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-2#2189674532-1,0
98459247-2,Brooks Revel 4,2189674532-2,Brooks Revel 4 Running Shoes,98459247-2#2189674532-2,0
98459247-2,Brooks Revel 4,8677077594-0,Brooks Revel 4 Running Shoes,98459247-2#8677077594-0,0
98459247-2,Brooks Revel 4,8677077594-1,Brooks Revel 4 Running Shoes,98459247-2#8677077594-1,0
9393095-0,Brooks Cascadia 15,1872599326-0, Brooks Cascadia 15,9393095-0#1872599326-0,0
9393095-0,Brooks Cascadia 15,11635808-0,Brooks Cascadia 15 Mens ,9393095-0#11635808-0,0
9393095-0,Brooks Cascadia 15,11635808-1,Brooks Cascadia 15 Mens ,9393095-0#11635808-1,0
9393095-0,Brooks Cascadia 15,11635808-2,Brooks Cascadia 15 Mens,9393095-0#11635808-2,0
9393095-0,Brooks Cascadia 15,8330392-0,Brooks Cascadia 15 Womens ,9393095-0#8330392-0,0
9393095-0,Brooks Cascadia 15,8330392-2,Brooks Cascadia 15 Womens,9393095-0#8330392-2,0
9393095-0,Brooks Cascadia 15,1333060258-0, Brooks Cascadia 15 Goretex,9393095-0#1333060258-0,0
9393095-0,Brooks Cascadia 15,3595683857-0, Brooks Cascadia 15 Goretex,9393095-0#3595683857-0,0
9393095-0,Brooks Cascadia 15,87492934-0,Brooks Cascadia GTX 15 Mens ,9393095-0#87492934-0,0
9393095-0,Brooks Cascadia 15,74552916-0,Brooks Cascadia 14 Womens ,9393095-0#74552916-0,0
9393095-0,Brooks Cascadia 15,71210788-0,Brooks Cascadia GTX 15 Womens ,9393095-0#71210788-0,0
9393095-0,Brooks Cascadia 15,4760439895-0,Brooks Cascadia 15 Trail Running Shoes,9393095-0#4760439895-0,0
9393095-0,Brooks Cascadia 15,9304220918-0, Brooks Caldera 5,9393095-0#9304220918-0,0
9393095-1,Brooks Cascadia 15,57779013-0, Brooks Cascadia 15 Mens Trail Running Shoes,9393095-1#57779013-0,0
9393095-1,Brooks Cascadia 15,6644935798-0, Brooks Beast 20,9393095-1#6644935798-0,0
9393095-1,Brooks Cascadia 15,87337356-0, Brooks ELMN8 v5 Mens Racing Spikes,9393095-1#87337356-0,0
9393095-1,Brooks Cascadia 15,80748833-0, Brooks Beast 20 Mens Road Running Shoes,9393095-1#80748833-0,0
9393095-1,Brooks Cascadia 15,80748833-1, Brooks Beast 20 Mens Road Running Shoes,9393095-1#80748833-1,0
9393095-1,Brooks Cascadia 15,8375258908-0,Brooks Ghost 13 GTX Running Shoes,9393095-1#8375258908-0,0
9393095-1,Brooks Cascadia 15,51257445-0, Brooks Levitate 4 Mens Road Running Shoes,9393095-1#51257445-0,0
9393095-2,Brooks Cascadia 15,57779013-0, Brooks Cascadia 15 Mens Trail Running Shoes,9393095-2#57779013-0,0
9393095-2,Brooks Cascadia 15,4578990633-0, Brooks Glycerin 19,9393095-2#4578990633-0,0
9393095-2,Brooks Cascadia 15,4578990633-1, Brooks Glycerin 19,9393095-2#4578990633-1,0
9393095-2,Brooks Cascadia 15,45210045-2,Brooks Adrenaline GTS 21 Womens ,9393095-2#45210045-2,0
9393095-2,Brooks Cascadia 15,88073041-0,Brooks Glycerin GTS 19 Mens,9393095-2#88073041-0,0
9393095-2,Brooks Cascadia 15,3254468229-1, Brooks Revel 4,9393095-2#3254468229-1,0
9393095-2,Brooks Cascadia 15,45814861-0,Brooks Adrenaline Walker 3 Womens ,9393095-2#45814861-0,0
9393095-2,Brooks Cascadia 15,8074603326-1,Brooks Ghost 13 Running Shoes,9393095-2#8074603326-1,0
9393095-2,Brooks Cascadia 15,3676508-0, Brooks QW-K v4 Mens Racing Spikes,9393095-2#3676508-0,0
9393095-2,Brooks Cascadia 15,51257445-0, Brooks Levitate 4 Mens Road Running Shoes,9393095-2#51257445-0,0
8963588-1,Brooks Catamount,59326104-0, Brooks Catamount Mens Trail Running Shoes,8963588-1#59326104-0,0
8963588-1,Brooks Catamount,2553348554-0, Brooks Trace,8963588-1#2553348554-0,0
8963588-1,Brooks Catamount,11635808-0,Brooks Cascadia 15 Mens ,8963588-1#11635808-0,0
8963588-1,Brooks Catamount,8330392-1,Brooks Cascadia 15 Womens ,8963588-1#8330392-1,0
8963588-1,Brooks Catamount,9304220918-0, Brooks Caldera 5,8963588-1#9304220918-0,0
8963588-1,Brooks Catamount,87492934-0,Brooks Cascadia GTX 15 Mens ,8963588-1#87492934-0,0
8963588-1,Brooks Catamount,3595683857-0, Brooks Cascadia 15 Goretex,8963588-1#3595683857-0,0
8963588-1,Brooks Catamount,1872599326-0, Brooks Cascadia 15,8963588-1#1872599326-0,0
8963588-1,Brooks Catamount,77629853-1,Brooks Mach 19 Mens ,8963588-1#77629853-1,0
8963588-1,Brooks Catamount,4926183363-0, Brooks Bedlam 3,8963588-1#4926183363-0,0
8963588-1,Brooks Catamount,6644935798-1, Brooks Beast 20,8963588-1#6644935798-1,0
8963588-1,Brooks Catamount,6644935798-2,Brooks Beast 20,8963588-1#6644935798-2,0
8963588-1,Brooks Catamount,9269874261-0,Brooks Bedlam 3,8963588-1#9269874261-0,0
8963588-1,Brooks Catamount,30435442-2, Brooks Transcend 7 Mens Road Running Shoes,8963588-1#30435442-2,0
8963588-0,Brooks Catamount,8074603326-2,Brooks Ghost 13 Running Shoes,8963588-0#8074603326-2,0
90298699-0,Brooks Cascadia 15,1872599326-1, Brooks Cascadia 15,90298699-0#1872599326-1,0
90298699-0,Brooks Cascadia 15,9428032834-1, Brooks Cascadia 15,90298699-0#9428032834-1,0
90298699-0,Brooks Cascadia 15,11635808-0,Brooks Cascadia 15 Mens ,90298699-0#11635808-0,0
90298699-0,Brooks Cascadia 15,11635808-2,Brooks Cascadia 15 Mens,90298699-0#11635808-2,0
90298699-0,Brooks Cascadia 15,8330392-0,Brooks Cascadia 15 Womens ,90298699-0#8330392-0,0
90298699-0,Brooks Cascadia 15,8330392-2,Brooks Cascadia 15 Womens,90298699-0#8330392-2,0
90298699-0,Brooks Cascadia 15,87492934-0,Brooks Cascadia GTX 15 Mens ,90298699-0#87492934-0,0
90298699-0,Brooks Cascadia 15,74552916-0,Brooks Cascadia 14 Womens ,90298699-0#74552916-0,0
90298699-0,Brooks Cascadia 15,71210788-0,Brooks Cascadia GTX 15 Womens ,90298699-0#71210788-0,0
90298699-0,Brooks Cascadia 15,4760439895-1,Brooks Cascadia 15 Trail Running Shoes,90298699-0#4760439895-1,0
90298699-0,Brooks Cascadia 15,9304220918-0, Brooks Caldera 5,90298699-0#9304220918-0,0
90298699-0,Brooks Cascadia 15,57779013-0, Brooks Cascadia 15 Mens Trail Running Shoes,90298699-0#57779013-0,0
90298699-0,Brooks Cascadia 15,27028612-0, Brooks Cascadia 15 Womens Trail Running Shoes,90298699-0#27028612-0,0
83857277-0,Brooks Glycerin 19,2468158051-1, Brooks Glycerin 19,83857277-0#2468158051-1,0
83857277-0,Brooks Glycerin 19,6249767945-0, Brooks Glycerin GTS 19,83857277-0#6249767945-0,0
83857277-0,Brooks Glycerin 19,6249767945-1, Brooks Glycerin GTS 19,83857277-0#6249767945-1,0
83857277-0,Brooks Glycerin 19,8536357706-0, Brooks Glycerin GTS 19,83857277-0#8536357706-0,0
83857277-0,Brooks Glycerin 19,32215863-0,Brooks Glycerin 19 Womens,83857277-0#32215863-0,0
83857277-0,Brooks Glycerin 19,88073041-0,Brooks Glycerin GTS 19 Mens,83857277-0#88073041-0,0
83857277-0,Brooks Glycerin 19,5752285951-1,Brooks Glycerin 19 Running Shoes,83857277-0#5752285951-1,0
83857277-0,Brooks Glycerin 19,1157750855-0,Brooks Glycerin GTS 19 Running Shoes,83857277-0#1157750855-0,0
83857277-0,Brooks Glycerin 19,5431691443-0,Brooks Glycerin GTS 19 Running Shoes,83857277-0#5431691443-0,0
83857277-0,Brooks Glycerin 19,5431691443-1,Brooks Glycerin GTS 19 Running Shoes,83857277-0#5431691443-1,0
83857277-0,Brooks Glycerin 19,9304220918-0, Brooks Caldera 5,83857277-0#9304220918-0,0
83857277-0,Brooks Glycerin 19,9765894792-0, Brooks Caldera 5,83857277-0#9765894792-0,0
75351102-6,Brooks Ghost 13,1333060258-0, Brooks Cascadia 15 Goretex,75351102-6#1333060258-0,0
75351102-6,Brooks Ghost 13,96866998-0, Brooks Addiction Walker 2 Womens Road Running Shoes,75351102-6#96866998-0,0
75351102-7,Brooks Ghost 13,8375258908-0,Brooks Ghost 13 GTX Running Shoes,75351102-7#8375258908-0,0
75351102-7,Brooks Ghost 13,8048422524-1, Brooks Ricochet 3,75351102-7#8048422524-1,0
75351102-7,Brooks Ghost 13,2439531269-1, Brooks Adrenaline GTS 21 Wide,75351102-7#2439531269-1,0
75351102-7,Brooks Ghost 13,45210045-0,Brooks Adrenaline GTS 21 Womens ,75351102-7#45210045-0,0
75351102-7,Brooks Ghost 13,45210045-3,Brooks Adrenaline GTS 21 Womens ,75351102-7#45210045-3,0
75351102-7,Brooks Ghost 13,1157750855-1,Brooks Glycerin GTS 19 Running Shoes,75351102-7#1157750855-1,0
75351102-7,Brooks Ghost 13,5431691443-0,Brooks Glycerin GTS 19 Running Shoes,75351102-7#5431691443-0,0
75351102-7,Brooks Ghost 13,378588203-0,Brooks Ricochet 2 Running Shoes,75351102-7#378588203-0,0
75351102-7,Brooks Ghost 13,2135080502-0, Brooks Adrenaline Walker 3,75351102-7#2135080502-0,0
75351102-7,Brooks Ghost 13,19106558-0, Brooks Addiction 14 Womens Road Running Shoes,75351102-7#19106558-0,0
75727983-2,Brooks Adrenaline GTS 21,1988744982-0, Brooks Adrenaline GTS 21,75727983-2#1988744982-0,0
75727983-2,Brooks Adrenaline GTS 21,1988744982-1, Brooks Adrenaline GTS 21,75727983-2#1988744982-1,0
75727983-2,Brooks Adrenaline GTS 21,77796044-1,Brooks Adrenaline GTS 21 Mens ,75727983-2#77796044-1,0
75727983-2,Brooks Adrenaline GTS 21,77796044-2,Brooks Adrenaline GTS 21 Mens ,75727983-2#77796044-2,0
75727983-2,Brooks Adrenaline GTS 21,77796044-3,Brooks Adrenaline GTS 21 Mens,75727983-2#77796044-3,0
75727983-2,Brooks Adrenaline GTS 21,45210045-0,Brooks Adrenaline GTS 21 Womens ,75727983-2#45210045-0,0
75727983-2,Brooks Adrenaline GTS 21,54116981-1,Brooks Adrenaline GTS 20 Womens ,75727983-2#54116981-1,0
75727983-2,Brooks Adrenaline GTS 21,2305958213-0,Brooks Adrenaline GTS 21 Running Shoes,75727983-2#2305958213-0,0
75727983-2,Brooks Adrenaline GTS 21,2305958213-2,Brooks Adrenaline GTS 21 Running Shoes,75727983-2#2305958213-2,0
75727983-2,Brooks Adrenaline GTS 21,63510011-1, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75727983-2#63510011-1,0
75727983-2,Brooks Adrenaline GTS 21,63510011-2, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75727983-2#63510011-2,0
75727983-2,Brooks Adrenaline GTS 21,63510011-3, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75727983-2#63510011-3,0
75727983-2,Brooks Adrenaline GTS 21,63510011-4, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75727983-2#63510011-4,0
75727983-2,Brooks Adrenaline GTS 21,82848799-0, Brooks Adrenaline GTS 21 Womens Road Running Shoes,75727983-2#82848799-0,0
75351102-9,Brooks Ghost 13,70245610-0, Brooks Ghost 13,75351102-9#70245610-0,0
75351102-9,Brooks Ghost 13,70245610-2, Brooks Ghost 13,75351102-9#70245610-2,0
75351102-9,Brooks Ghost 13,6207752-6,Brooks Ghost 13 Mens,75351102-9#6207752-6,0
75351102-9,Brooks Ghost 13,3451523672-1, Brooks Ghost 13 Narrow,75351102-9#3451523672-1,0
75351102-9,Brooks Ghost 13,40520750-1,Brooks Ghost 13 Womens ,75351102-9#40520750-1,0
75351102-9,Brooks Ghost 13,40520750-3,Brooks Ghost 13 Womens,75351102-9#40520750-3,0
75351102-9,Brooks Ghost 13,650780181-0, Brooks Ghost 13 Narrow,75351102-9#650780181-0,0
75351102-9,Brooks Ghost 13,3246205859-0, Brooks Ghost 13 Wide 2E,75351102-9#3246205859-0,0
75351102-9,Brooks Ghost 13,33267598-0,Brooks Ghost 12 Mens ,75351102-9#33267598-0,0
75351102-9,Brooks Ghost 13,7099271290-0, Brooks Ghost 13 Extra Wide,75351102-9#7099271290-0,0
75351102-9,Brooks Ghost 13,6982040209-0,Brooks Ghost 13 Running Shoes,75351102-9#6982040209-0,0
75351102-9,Brooks Ghost 13,5180847860-0,Brooks Ghost 13 Narrow Running Shoes,75351102-9#5180847860-0,0
75351102-4,Brooks Ghost 13,64606328-2, Brooks Ghost 13 Mens Road Running Shoes,75351102-4#64606328-2,0
75351102-4,Brooks Ghost 13,3893946509-0,Brooks Ghost 13 Extra Wide Running Shoes,75351102-4#3893946509-0,0
75351102-4,Brooks Ghost 13,6249767945-1, Brooks Glycerin GTS 19,75351102-4#6249767945-1,0
75351102-4,Brooks Ghost 13,7959363920-0,Brooks Adrenaline GTS 21 Running Shoes,75351102-4#7959363920-0,0
75351102-4,Brooks Ghost 13,681018076-2,Brooks Beast 20 Running Shoes,75351102-4#681018076-2,0
75351102-4,Brooks Ghost 13,2508178765-0,Brooks Launch GTS 8 Wide Running Shoes,75351102-4#2508178765-0,0
75351102-4,Brooks Ghost 13,2424995179-0,Brooks Levitate 4 Running Shoes,75351102-4#2424995179-0,0
75351102-4,Brooks Ghost 13,9228919710-1,Brooks Defyance 11 Running Shoes,75351102-4#9228919710-1,0
75351102-2,Brooks Ghost 13,6207752-5,Brooks Ghost 13 Mens ,75351102-2#6207752-5,0
75351102-2,Brooks Ghost 13,40520750-3,Brooks Ghost 13 Womens,75351102-2#40520750-3,0
75351102-2,Brooks Ghost 13,64606328-3, Brooks Ghost 13 Mens Road Running Shoes,75351102-2#64606328-3,0
75351102-2,Brooks Ghost 13,77537281-3, Brooks Ghost 13 Womens Road Running Shoes,75351102-2#77537281-3,0
75351102-2,Brooks Ghost 13,68962755-1,Brooks Launch GTS 8 Womens,75351102-2#68962755-1,0
75351102-2,Brooks Ghost 13,437031-0,Brooks Glycerin GTS 19 Womens,75351102-2#437031-0,0
75351102-2,Brooks Ghost 13,2746693578-1,Brooks Levitate 4,75351102-2#2746693578-1,0
75351102-2,Brooks Ghost 13,1718796-1,Brooks Hyperion Tempo Mens,75351102-2#1718796-1,0
75351102-2,Brooks Ghost 13,54116981-2,Brooks Adrenaline GTS 20 Womens ,75351102-2#54116981-2,0
75351102-2,Brooks Ghost 13,93066628-0, Brooks Hyperion Tempo Mens Road Running Shoes,75351102-2#93066628-0,0
75351102-2,Brooks Ghost 13,6927788-0, Brooks Hyperion Tempo Womens Road Running Shoes,75351102-2#6927788-0,0
75351102-2,Brooks Ghost 13,1675100344-1, Brooks Addiction Walker 2,75351102-2#1675100344-1,0
75351102-2,Brooks Ghost 13,46306238-0,Brooks Revel 4 Womens ,75351102-2#46306238-0,0
75351102-2,Brooks Ghost 13,63510011-1, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75351102-2#63510011-1,0
75351102-2,Brooks Ghost 13,30435442-3, Brooks Transcend 7 Mens Road Running Shoes,75351102-2#30435442-3,0
75351102-1,Brooks Ghost 13,40520750-3,Brooks Ghost 13 Womens,75351102-1#40520750-3,0
75351102-1,Brooks Ghost 13,6302253593-0, Brooks Ricochet 3,75351102-1#6302253593-0,0
75351102-1,Brooks Ghost 13,8682667884-0, Brooks Launch GTS 8,75351102-1#8682667884-0,0
75351102-1,Brooks Ghost 13,4056076952-1, Brooks Launch 8,75351102-1#4056076952-1,0
75351102-1,Brooks Ghost 13,736652578-1,Brooks Ricochet 3 Running Shoes,75351102-1#736652578-1,0
75351102-1,Brooks Ghost 13,51824908-2,Brooks Ravenna 11 Mens,75351102-1#51824908-2,0
75351102-1,Brooks Ghost 13,1675100344-1, Brooks Addiction Walker 2,75351102-1#1675100344-1,0
75351102-1,Brooks Ghost 13,5187304016-0, Brooks Addiction Walker 2,75351102-1#5187304016-0,0
75351102-1,Brooks Ghost 13,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,75351102-1#13432720-0,0
75351102-1,Brooks Ghost 13,36030510-1,Brooks Launch 8 Running Shoes,75351102-1#36030510-1,0
75351102-1,Brooks Ghost 13,63510011-1, Brooks Adrenaline GTS 21 Mens Road Running Shoes,75351102-1#63510011-1,0
75351102-1,Brooks Ghost 13,39071607-0,Brooks Addiction Walker 2 Mens ,75351102-1#39071607-0,0
